Track,Artist,Album Name,Release Date,ISRC,Spotify Streams,Spotify Popularity,Spotify Playlist Count,All Time Rank,Track Score,
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Justice,3/19/2021,USUM72102636,1612286123.0,74.0,"282,719",148,125.2,
Don't Start Now,Dua Lipa,Don't Start Now,10/31/2019,GBAHT1901121,2607121959.0,78.0,"270,23",149,124.6,
Lucid Dreams,Juice WRLD,Lucid Dreams,5/4/2018,USUG11800685,2548389305.0,78.0,"339,306",150,123.9,
PROVENZA,KAROL G,PROVENZA,4/22/2022,USUM72205906,1185929926.0,76.0,"103,026",151,123.8,
WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion),8/7/2020,USAT22005111,1325725696.0,72.0,"171,255",152,123.4,
SPOT!,ZICO,SPOT!,4/26/2024,USA2P2421932,77757035.0,81.0,"3,407",153,122.8,
Family Matters,Drake,Family Matters,5/3/2024,USUG12402984,72335127.0,86.0,"8,696",154,122.7,
Again,Kurochuu,Missing,6/9/2024,CA5KR2466577,136237285.0,2.0,2,155,122.5,
Seven (feat. Latto) (Explicit Ver.),Jung Kook,Seven (feat. Latto),7/14/2023,USA2P2330093,1673557134.0,80.0,"54,95",156,122.4,
Last Night,Morgan Wallen,3 Songs At A Time Sampler,1/31/2023,USUG12300802,922010059.0,79.0,"107,189",157,121.9,
Too Sweet,Hozier,Unreal Unearth: Unheard,3/22/2024,IEACJ2300335,532012790.0,85.0,"22,396",158,121.2,
Bad Habits,Ed Sheeran,#NAME?,1/1/2020,GBAHS2100318,1754311538.0,74.0,"271,758",159,120.8,
QLONA,KAROL G,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,8/10/2023,USUG12305257,850810162.0,82.0,"56,104",160,120.7,
Leave The Door Open,Bruno Mars,Leave The Door Open,3/5/2021,USAT22100906,1312168384.0,75.0,"248,793",161,120.1,
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),ýýýýýýýýýýýýýýý 3ýýýýýý ýýýýýýýýýýýýýýý,1/5/2022,JPKI02118106,548408.0,24.0,130,162,119.5,
good 4 u,Olivia Rodrigo,good 4 u,5/14/2021,USUG12101245,2167768056.0,79.0,"309,421",163,117.8,
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3/29/2019,USUM71900764,2516804300.0,76.0,"296,739",164,117.7,
Seï¿½ï¿½o,Shawn Mendes,Shawn Mendes (Deluxe),5/25/2018,USUM71911283,2738293818.0,74.0,"251,033",165,117.6,
DESPECHï¿,ROSALï¿½,DESPECHï¿,7/28/2022,USSM12207207,1003487432.0,73.0,"126,402",166,116.9,
ROCKSTAR (feat. Roddy Ricch),DaBaby,BLAME IT ON BABY,4/17/2020,USUM72007941,1638836101.0,70.0,"272,933",167,116.7,
Eyes Closed,Ed Sheeran,Eyes Closed (Piano Version),3/23/2023,GBAHS2201304,372423476.0,71.0,"44,73",168,116.6,
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,I Remember Everything (feat. Kacey Musgraves),8/24/2023,USWB12304903,630373315.0,84.0,"70,4",169,116.5,
Circles,Post Malone,Circles,8/30/2019,USUM71915699,2481391466.0,80.0,"332,437",170,116.0,
